ap,ep,sinip,astar,iz
3.0724,0.1758,0.0351,-0.133,-0.05
3.2068,0.1719,0.0285,-0.174,0.07
2.9898,0.0553,0.1663,0.036,0.02
2.3637,0.1603,0.1013,0.192,-0.36
2.3739,0.2403,0.0917,0.094,-0.04
2.7176,0.249,0.1544,-0.085,0.08
3.0371,0.084,0.1832,0.076,0.05
2.8428,0.0657,0.2898,0.009,0.06
2.5399,0.1646,0.194,0.117,-0.06
3.1173,0.192,0.1456,-0.129,0.01
3.2053,0.0978,0.2525,-0.067,0.02
3.1765,0.1451,0.0906,-0.089,-0.16
2.5456,0.0815,0.2589,0.058,0
3.1988,0.2066,0.0726,-0.143,-0.11
2.9324,0.0731,0.0369,0.099,0.04
2.2801,0.1164,0.0681,0.193,-0.09
2.6289,0.2983,0.088,0.112,-0.11
3.0408,0.0503,0.1365,0.067,-0.02
3.124,0.052,0.1566,0.054,-0.03
3.0861,0.1254,0.2145,-0.049,0.05
2.6793,0.1451,0.2183,0.192,-0.08
3.1685,0.0623,0.1619,-0.124,0.03
3.0457,0.0719,0.1693,0.112,0.07
2.5557,0.1397,0.2298,0.152,-0.11
2.7183,0.1635,0.1802,0.027,0.07
2.8007,0.0681,0.0649,0.143,-0.03
2.9121,0.0354,0.038,0.063,-0.01
3.0349,0.051,0.2767,0.063,-0.02
3.1293,0.1579,0.0186,-0.138,-0.01
3.2113,0.0562,0.2544,-0.044,0.1
2.7704,0.0666,0.0635,0.139,-0.02
2.8851,0.0799,0.0368,0.121,-0.06
2.1587,0.1252,0.0464,0.143,-0.05
2.5937,0.189,0.0769,0.063,-0.01
2.4468,0.1433,0.1056,0.147,-0.39
2.7796,0.1934,0.1357,-0.133,0.05
2.3488,0.1613,0.1868,0.094,0.06
2.4163,0.1063,0.1469,0.232,-0.22
3.1352,0.1823,0.2667,-0.067,0.05
2.5779,0.2639,0.2139,0.045,-0.04
2.679,0.1479,0.2257,0.09,-0.04
2.5913,0.1296,0.2316,0.165,-0.03
2.3397,0.1545,0.0591,-0.196,0
2.7638,0.1964,0.1638,-0.031,0.05
2.7063,0.0851,0.1007,0.152,0.02
2.363,0.1951,0.0112,0.13,-0.07
2.5744,0.1394,0.1396,0.161,0.01
2.3284,0.0909,0.1143,0.036,-0.28
3.036,0.0822,0.01,-0.134,0
2.6188,0.1883,0.0627,-0.093,-0.03
2.8747,0.0461,0.0365,0.103,-0.01
3.1996,0.1456,0.0214,-0.182,0.05
3.1316,0.1822,0.1078,-0.098,-0.02
2.3878,0.1765,0.0378,0.054,-0.08
2.3245,0.1645,0.0977,-0.088,-0.03
2.73,0.2269,0.1869,0.027,-0.01
2.7163,0.0683,0.1702,0.152,-0.04
3.1738,0.2,0.1875,-0.093,0
2.6683,0.1909,0.2404,0.121,-0.04
2.977,0.0884,0.1792,0.032,0.02
3.1541,0.2339,0.2794,-0.098,0.14
2.3156,0.0923,0.1292,-0.031,0.1
3.09,0.0606,0.155,0.112,0.05
2.6892,0.1628,0.2043,0.165,-0.06
2.4437,0.2714,0.1356,0.17,0.03
2.5365,0.2567,0.1689,0.125,-0.06
2.5887,0.0871,0.2425,0.068,0.07
2.678,0.1645,0.235,0.147,0.01
3.1157,0.2524,0.2851,-0.008,0.06
2.9921,0.0069,0.1995,-0.12,0.07
